WEEKDAY_APPR_PROCESS_START_SUNDAY_y,BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,CODE_REJECT_REASON_HC,BUREAU_DAYS_CREDIT_ENDDATE_MIN,AMT_GOODS_PRICE,TOTALAREA_MODE,NAME_SELLER_INDUSTRY_XNA,PREVAPP_CNT_PAYMENT_MEAN,BUREAU_DAYS_CREDIT_MIN,PREVAPP_DAYS_FIRST_DUE_MEAN,SK_ID_CURR,NAME_YIELD_GROUP_middle,PREVAPP_AMT_APPLICATION_MEAN,BUREAU_DAYS_CREDIT_UPDATE_MEAN,OBS_60_CNT_SOCIAL_CIRCLE,NAME_CONTRACT_STATUS_Canceled_x,PREVAPP_AMT_ANNUITY_SUM,WEEKDAY_APPR_PROCESS_START_THURSDAY_y,POS_SK_DPD_DEF_SUM,PREVAPP_DAYS_FIRST_DRAWING_MEAN,CREDIT_TYPE_Credit card,NAME_CONTRACT_STATUS_Active_x,BUREAU_DAYS_CREDIT_MEAN,BUREAU_AMT_CREDIT_SUM_DEBT_MAX,BUREAU_DAYS_CREDIT_UPDATE_MAX,COMMONAREA_AVG,POS_SK_ID_PREV_MEAN,PREVAPP_AMT_APPLICATION_MAX,NAME_PORTFOLIO_Cards,NAME_CONTRACT_STATUS_Completed_x,PREVAPP_DAYS_LAST_DUE_1ST_VERSION_MEAN,BUREAU_DAYS_CREDIT_MAX,NAME_CLIENT_TYPE_New,AMT_ANNUITY,PREVAPP_DAYS_TERMINATION_MAX,POS_CNT_INSTALMENT_FUTURE_SUM,FLOORSMAX_AVG,PREVAPP_AMT_CREDIT_SUM,BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,PREVAPP_DAYS_DECISION_MEAN,NAME_CONTRACT_TYPE_Cash loans,NAME_CLIENT_TYPE_Repeater,CODE_REJECT_REASON_XAP,POS_SK_ID_PREV_MAX,BUREAU_DAYS_ENDDATE_FACT_MEAN,APARTMENTS_AVG,NAME_PRODUCT_TYPE_x-sell,BUREAU_AMT_CREDIT_SUM_MEAN,AMT_INCOME_TOTAL,BUREAU_DAYS_ENDDATE_FACT_MIN,NAME_GOODS_CATEGORY_Consumer Electronics,CNT_CHILDREN,BASEMENTAREA_AVG,DAYS_ID_PUBLISH,PREVAPP_CNT_PAYMENT_MAX,NAME_PAYMENT_TYPE_XNA,NAME_PORTFOLIO_POS,BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,BUREAU_DAYS_CREDIT_ENDDATE_MAX,DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE,PREVAPP_AMT_DOWN_PAYMENT_MAX,NAME_YIELD_GROUP_low_normal,BUREAU_SK_ID_BUREAU_MAX,LIVINGAPARTMENTS_AVG,NAME_GOODS_CATEGORY_XNA,LIVINGAREA_AVG,NAME_SELLER_INDUSTRY_Consumer electronics,BUREAU_AMT_CREDIT_SUM_MAX,NAME_PORTFOLIO_Cash,WEEKDAY_APPR_PROCESS_START_WEDNESDAY_y,NAME_GOODS_CATEGORY_Computers,CNT_FAM_MEMBERS,PREVAPP_AMT_APPLICATION_SUM,PRODUCT_COMBINATION_Cash,NONLIVINGAREA_AVG,AGE,POS_SK_DPD_MEAN,NAME_CONTRACT_STATUS_Signed_x,PREVAPP_AMT_DOWN_PAYMENT_MEAN,PRODUCT_COMBINATION_POS mobile with interest,CHANNEL_TYPE_AP+ (Cash loan),POS_MONTHS_BALANCE_SUM,POS_SK_DPD_MAX,NAME_TYPE_SUITE_Unaccompanied_y,NAME_PRODUCT_TYPE_XNA,BUREAU_AMT_CREDIT_SUM_DEBT_SUM,POS_CNT_INSTALMENT_MEAN,PREVAPP_AMT_ANNUITY_MEAN,WEEKDAY_APPR_PROCESS_START_SATURDAY_y,NAME_GOODS_CATEGORY_Audio/Video,CODE_REJECT_REASON_LIMIT,OBS_30_CNT_SOCIAL_CIRCLE,WEEKDAY_APPR_PROCESS_START_FRIDAY,AMT_CREDIT,BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,EXT_SOURCE_3,EXT_SOURCE_1,POS_CNT_INSTALMENT_MAX,CODE_REJECT_REASON_SCOFR,POS_SK_DPD_SUM,PREVAPP_DAYS_FIRST_DUE_MAX,POS_SK_DPD_DEF_MAX,HOUR_APPR_PROCESS_START,POS_CNT_INSTALMENT_SUM,PREVAPP_DAYS_DECISION_MAX,REGION_POPULATION_RELATIVE,PREVAPP_SELLERPLACE_AREA_MAX,BUREAU_SK_ID_BUREAU_MEAN,BUREAU_SK_ID_BUREAU_MIN,LANDAREA_AVG,PREVAPP_SELLERPLACE_AREA_MEAN,BUREAU_DAYS_CREDIT_ENDDATE_MEAN,PREVAPP_AMT_GOODS_PRICE_MAX,NAME_CONTRACT_TYPE_Revolving loans,DEF_30_CNT_SOCIAL_CIRCLE,PREVAPP_SK_ID_PREV_MAX,NAME_CONTRACT_STATUS_Refused_x,WEEKDAY_APPR_PROCESS_START_MONDAY_y,BUREAU_DAYS_ENDDATE_FACT_MAX,NAME_YIELD_GROUP_high,PREVAPP_AMT_GOODS_PRICE_MEAN,PREVAPP_AMT_ANNUITY_MAX,CHANNEL_TYPE_Credit and cash offices,CREDIT_TYPE_Consumer credit,PREVAPP_DAYS_LAST_DUE_1ST_VERSION_MAX,OWN_CAR_AGE,NAME_PAYMENT_TYPE_Cash through the bank,CHANNEL_TYPE_Stone,DAYS_BIRTH,PREVAPP_AMT_CREDIT_MAX,CREDIT_ACTIVE_Closed,POS_CNT_INSTALMENT_FUTURE_MAX,POS_SK_DPD_DEF_MEAN,COMMONAREA_MODE,NAME_CONTRACT_STATUS_Approved_x,AMT_REQ_CREDIT_BUREAU_YEAR,BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,PREVAPP_SK_ID_PREV_MEAN,PREVAPP_DAYS_LAST_DUE_MAX,WEEKDAY_APPR_PROCESS_START_TUESDAY_y,NAME_CONTRACT_TYPE_Consumer loans,EXT_SOURCE_2,PREVAPP_DAYS_TERMINATION_MEAN,PREVAPP_AMT_GOODS_PRICE_SUM,PREVAPP_RATE_DOWN_PAYMENT_MAX,BUREAU_DAYS_CREDIT_UPDATE_MIN,CHANNEL_TYPE_Regional / Local,CHANNEL_TYPE_Country-wide,NAME_PORTFOLIO_XNA,FLOORSMIN_AVG,BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,NAME_GOODS_CATEGORY_Mobile,PREVAPP_AMT_CREDIT_MEAN,NAME_SELLER_INDUSTRY_Connectivity,ENTRANCES_AVG,PREVAPP_NFLAG_INSURED_ON_APPROVAL_MEAN,PREVAPP_DAYS_LAST_DUE_MEAN,YEARS_BUILD_AVG,DAYS_EMPLOYED,NAME_PRODUCT_TYPE_walk-in,PREVAPP_HOUR_APPR_PROCESS_START_MEAN,PREVAPP_RATE_DOWN_PAYMENT_MEAN,CREDIT_ACTIVE_Active,PREVAPP_HOUR_APPR_PROCESS_START_MAX,POS_MONTHS_BALANCE_MAX,NAME_YIELD_GROUP_XNA,NAME_TYPE_SUITE_Family_y,BUREAU_AMT_CREDIT_SUM_SUM,PREVAPP_AMT_DOWN_PAYMENT_SUM,POS_CNT_INSTALMENT_FUTURE_MEAN,BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,COMMONAREA_MEDI,YEARS_BEGINEXPLUATATION_AVG,POS_MONTHS_BALANCE_MEAN
1,218972,0,-1054,406550,0.0165,0,22,-814,-2524,631888,1,229772,-687,1,0,50710,1,44,-1838,1,0,-266,94984,-2715,0.7231,2501754,442933,1,1,-1740,-869,1,15425,-1335,35,0.2558,53889,908617,-196,1,1,0,2330029,-812,0.6304,1,63482,239071,-1723,1,0.2544,0.5352,-5839,49,1,1,172195,-1927,-3268,-1368,52152,0,2055023,0.6116,1,0.5803,0,392091,1,1,0,2.6803,383982,1,0.8774,59,2.3372,0,38615,0,1,-4629,0,0,0,965447,5,6778,1,0,1,9,1,459941,38037,0.6504,0.0806,14,0,77,-1359,0,14,15,-1521,0.0386,122,1835969,2548592,0.0792,393,-752,79138,0,13,1249501,0,1,-1067,0,19189,5002,0,1,-618,2,1,1,-19178,384302,0,14,4.6345,0.4961,0,3.092,40500,2493961,-2278,1,1,0.8467,-738,340548,0.1801,-404,0,0,1,0.6489,286283,1,294559,0,0.9604,0.5531,-1522,0.1209,-15919,1,14,0.2167,0,6,-19,0,0,1120012,173924,5,3502,0.8224,0.444,-7
1,33060,0,-443,446260,0.6764,0,14,-2644,-1071,364686,0,127669,-922,16,1,30023,1,84,-125,0,1,-2984,362736,-569,0.2183,2134810,271796,1,1,-2587,-459,1,15301,-1319,82,0.6098,1158782,536393,-908,0,1,1,1304691,-2449,0.8882,0,89076,196525,-48,0,0.4993,0.4943,-1557,46,0,1,108879,-812,-14286,-355,73195,0,2493980,0.1147,0,0.4068,1,519955,0,0,0,2.5465,375583,1,0.1302,34,1.5859,1,48524,1,0,-4804,0,1,0,1182283,1,15351,1,0,1,11,1,441071,179088,0.6715,0.2237,23,0,63,-679,4,13,21,-48,0.0385,38,1256016,2791813,0.1085,168,-2283,141662,1,14,1570543,0,0,-2896,0,337867,13348,0,1,-1739,16,0,1,-15851,297780,1,16,0.0245,0.4029,0,0.9773,31014,2996178,-2831,0,1,0.7676,-2248,417248,0.9925,-1762,1,0,0,0.5047,169369,0,119707,1,0.9294,0.4258,-2563,0.5142,-8197,0,6,0.6818,1,0,-84,0,1,1931663,116486,14,6814,0.8052,0.4553,0
1,284732,1,-1538,435181,0.3124,1,19,-382,-1079,140428,1,115035,-2950,7,0,66097,1,31,-1907,0,0,-960,268631,-922,0.6929,2476805,274254,1,1,-2495,-2648,1,15704,-1750,35,0.2018,303077,418988,-1974,1,1,1,2816471,-200,0.4802,1,268367,178631,-289,1,1.6324,0.095,-917,50,0,1,78831,-1311,-16540,-1464,68720,1,1079986,0.2621,1,0.4365,1,499897,0,0,1,1.2315,975343,0,0.2832,48,2.5858,0,13522,1,0,-3358,3,1,0,1935760,19,1140,1,1,1,1,0,465327,183389,0.7922,0.1363,16,1,51,-2064,4,11,50,-2461,0.0202,268,1608688,1451433,0.6993,180,-1343,216277,0,10,2339525,0,0,-2490,1,262836,14237,0,0,-452,16,0,1,-21240,422261,0,4,2.2103,0.5032,1,1.0954,30964,1330847,-260,0,0,0.7354,-2577,1657293,0.7719,-1385,0,1,0,0.8899,139139,1,13729,1,0.2727,0.0445,-2803,0.9983,-27163,1,20,0.6817,1,18,-98,0,1,606365,52638,11,6569,0.7976,0.2827,-14
0,144771,0,-2373,440219,0.0212,1,23,-2479,-1242,300011,0,84639,-1585,5,1,37385,1,13,-1348,1,1,-2113,404409,-151,0.7384,1126939,236510,1,1,-786,-2738,1,16660,-874,61,0.4099,184188,996549,-423,1,0,1,2863457,-2930,0.125,1,10886,218610,-1951,0,1.4349,0.7454,-5208,23,1,0,159616,-2803,-18663,-962,45330,1,1153152,0.8504,1,0.1362,0,173749,1,0,0,3.1944,969142,0,0.2593,25,2.3604,0,28878,0,0,-3230,1,1,0,1871468,18,13137,1,0,1,5,1,426585,36386,0.5738,0.1893,19,0,81,-111,9,15,45,-1563,0.0322,63,2749442,1490128,0.9101,156,-2035,278660,1,15,2648653,1,0,-335,0,318935,10368,1,1,-2151,11,0,1,-9162,327161,1,31,1.7879,0.2105,1,0.9009,39493,1877572,-2214,1,0,0.6568,-1259,218687,0.5326,-240,0,1,0,0.6008,151032,1,76457,0,0.4988,0.2436,-1380,0.5172,-14745,0,12,0.6648,1,16,-112,1,1,131557,53531,4,5134,0.2225,0.6307,-22
1,206728,1,-237,409950,0.5561,1,20,-2913,-780,521530,1,594,-987,12,1,63406,0,90,-2684,0,1,-559,361330,-1299,0.2575,2993021,433504,0,0,-822,-1160,0,16564,-905,56,0.8537,181710,690875,-299,0,0,0,1105900,-509,0.9759,1,143244,155851,-2186,0,1.4363,0.132,-2636,20,0,0,56451,-1227,-13180,-2397,29325,0,1839248,0.6335,0,0.1592,1,259314,0,0,1,4.2666,1097063,1,0.3435,33,2.4691,1,20735,0,1,-977,8,1,0,1030195,11,1355,1,0,0,3,1,448027,137689,0.7336,0.1732,5,1,45,-2359,1,12,66,-693,0.0439,323,2225768,1917919,0.167,103,-1164,29381,1,17,1302928,1,1,-2718,0,94248,15978,0,1,-456,7,0,1,-15510,193976,1,20,0.2101,0.6849,1,4.3532,23523,1227877,-2207,1,0,0.6178,-128,74430,0.1665,-1030,1,1,0,0.1691,46940,0,221146,1,0.9085,0.4529,-2470,0.5448,-20364,0,4,0.5319,1,0,-67,0,1,1665025,169042,15,8875,0.4214,0.8736,-55
0,126107,0,-1816,423777,0.9339,0,25,-1233,-1538,403919,1,105058,-766,0,1,4935,0,80,-2903,1,0,-1026,136715,-2171,0.5261,2517735,64848,1,1,-115,-2887,1,15129,-2210,50,0.961,1350394,817367,-2971,1,1,1,2357187,-863,0.208,0,149061,232790,-59,1,1.6096,0.373,-5510,7,1,0,117990,-1887,-2961,-2795,35650,0,1562995,0.6131,1,0.1746,0,419263,1,1,1,3.0893,42871,0,0.5262,54,0.237,1,16521,0,1,-857,1,1,1,342194,17,19539,0,1,0,18,0,431751,7847,0.6597,0.0737,45,0,93,-855,4,12,18,-2912,0.0445,148,1236215,1317289,0.9965,231,-501,73615,0,5,2302772,1,0,-1727,1,303733,13936,0,0,-68,4,1,1,-15334,239360,1,26,4.921,0.4337,1,0.0261,945,2320857,-2358,1,1,0.5532,-1512,974150,0.2768,-158,1,1,1,0.778,293101,0,227892,1,0.1882,0.9952,-1809,0.9433,-1603,1,16,0.195,1,18,-109,0,1,537342,93091,1,1119,0.5031,0.5701,-31
0,190542,1,-339,390989,0.1951,0,14,-1971,-430,576981,1,27930,-899,7,1,41415,0,21,-1328,1,1,-1736,388315,-2782,0.398,1441473,448802,1,1,-1516,-323,1,15161,-385,13,0.5873,771678,355999,-218,1,1,1,1773831,-1578,0.6817,1,279821,210313,-2007,1,0.6639,0.1502,-2151,22,1,1,174910,-477,-23005,-2388,36275,1,1736815,0.2091,0,0.8872,1,99632,0,1,1,2.3581,1932578,1,0.9731,54,4.7903,0,45746,0,0,-4437,6,1,1,1109725,15,1731,1,0,0,2,1,476692,9349,0.7641,0.1828,43,1,40,-2561,7,16,81,-1665,0.0287,84,1522361,1870623,0.2127,97,-897,278644,1,4,1323172,0,0,-1037,1,228200,2769,1,1,-2673,18,1,0,-20335,52369,0,48,2.4693,0.332,1,4.3688,36843,2610815,-1938,1,1,0.783,-2730,1955824,0.3915,-2163,0,1,0,0.165,140600,0,40762,1,0.669,0.1268,-1735,0.9814,-14478,1,6,0.093,1,19,-21,0,0,519979,121268,9,7504,0.3948,0.3726,-27
0,235694,0,-652,427123,0.5889,0,1,-1365,-434,382560,0,56886,-2949,7,1,43375,1,22,-421,0,0,-1074,204989,-1874,0.487,2395580,419373,1,0,-2675,-2423,1,16182,-226,82,0.4038,769343,187618,-1483,1,0,1,1332010,-2626,0.064,0,178857,201648,-1707,1,1.2224,0.0181,-102,33,1,1,117198,-1674,-11856,-2686,30921,1,2085205,0.3637,0,0.818,1,43834,0,0,1,3.6683,1246022,1,0.8045,44,1.8514,1,42066,0,0,-2629,0,1,1,1345528,4,6065,1,1,0,17,1,466552,48154,0.4171,0.1567,0,1,51,-1305,1,17,4,-1188,0.0351,52,2952420,1437426,0.5478,31,-32,465108,0,16,1531862,1,0,-2119,1,253943,10456,1,1,-1824,12,0,1,-18752,336085,0,49,4.6787,0.8228,0,3.6711,16767,2999570,-2918,1,0,0.7454,-119,465916,0.673,-2270,1,0,1,0.1327,267307,0,179731,0,0.6924,0.3322,-69,0.7973,-5484,0,16,0.6117,1,12,-53,1,1,899933,135610,13,6667,0.9046,0.2505,-22
1,279574,1,-98,423264,0.0229,0,9,-2834,-2134,556264,0,200791,-589,7,0,99886,1,40,-994,0,0,-1198,463432,-2661,0.0276,1298475,185886,1,0,-589,-2940,1,16891,-2801,56,0.8211,314755,516660,-73,0,0,0,1776968,-1081,0.4222,1,298902,163059,-2331,0,0.321,0.2542,-2567,17,0,0,55149,-2063,-1776,-1724,75675,0,1514138,0.5099,0,0.7179,0,332776,0,1,1,4.9459,1492911,1,0.5467,47,2.0932,0,24444,1,1,-2140,0,1,0,235901,0,19064,0,1,0,14,1,455026,65008,0.6568,0.1468,16,0,77,-54,4,17,1,-1974,0.0399,194,2441462,2277136,0.2739,15,-732,153918,1,6,1060559,1,0,-2039,1,357705,2550,0,1,-2475,16,1,0,-18944,287074,1,41,4.8553,0.5325,0,2.0864,47001,1161699,-1449,1,1,0.8232,-1401,1151602,0.4268,-2572,1,1,0,0.774,281549,0,31751,1,0.6597,0.4929,-1020,0.1582,-22186,0,5,0.4091,0,11,-82,0,1,1078798,19907,6,4215,0.0402,0.2158,-33
1,122557,0,-563,417118,0.8212,0,11,-589,-2461,152791,1,135209,-1327,4,1,67450,0,10,-2613,1,1,-1841,326824,-1981,0.7213,2925482,266393,1,1,-2111,-2364,0,16740,-2258,20,0.4551,133683,776966,-1387,0,1,1,2504058,-2449,0.6866,1,150317,186433,-529,0,2.933,0.2112,-5347,52,0,0,156990,-1319,-23655,-711,15517,1,1251705,0.7299,1,0.041,0,299835,1,1,0,1.5367,675529,0,0.6264,36,3.0496,1,35552,0,0,-1023,2,0,1,376220,14,13423,0,1,0,7,1,420295,145267,0.7086,0.061,5,0,8,-894,7,8,33,-159,0.0338,77,1774357,1319620,0.143,485,-1282,546600,1,14,1063433,0,0,-383,1,354985,13316,0,0,-932,6,1,1,-9853,565565,1,37,2.404,0.8214,0,0.1588,28556,2607181,-2289,0,1,0.8482,-2485,742832,0.6221,-10,1,0,0,0.4188,102835,0,218597,0,0.0831,0.6645,-2811,0.5359,-23669,0,7,0.4153,0,11,-13,1,0,700496,49692,12,3979,0.8942,0.0016,-37
1,266934,1,-119,383504,0.9432,0,2,-165,-2758,123868,0,182021,-2740,3,1,76473,0,62,-2161,1,1,-2158,233547,-498,0.6905,1916908,281560,0,0,-1638,-2426,1,15704,-2280,63,0.0577,1614608,997298,-1364,1,0,1,1072175,-2522,0.4997,1,280808,229200,-2793,0,0.4904,0.6998,-541,34,1,0,106201,-1374,-22160,-678,2932,0,1752677,0.8986,1,0.54,0,154065,1,1,0,3.6902,1034760,1,0.9677,39,4.1668,0,18955,0,0,-3764,7,0,0,1648304,14,3249,0,1,1,2,1,479989,176892,0.6846,0.2149,38,1,26,-1418,4,17,89,-644,0.0235,146,1203257,1048670,0.9496,310,-1959,377722,0,4,1691376,1,0,-1262,1,393522,8490,1,1,-2109,3,0,1,-24654,318424,1,40,4.4166,0.7417,0,2.6766,49569,1900010,-1512,0,0,0.7741,-606,1997089,0.4069,-1201,0,0,0,0.2169,256092,1,265342,1,0.2319,0.2083,-213,0.0727,-21512,0,18,0.6386,1,7,-1,1,0,528606,62972,15,3514,0.2957,0.688,-3
0,119825,1,-1892,432321,0.3572,1,22,-639,-1669,203181,0,8608,-1850,3,0,27204,0,74,-386,0,1,-706,454040,-2769,0.7619,1886681,163960,0,0,-1984,-2674,1,15249,-526,60,0.3659,1798577,767917,-2890,0,0,1,1606128,-640,0.3616,1,215710,184816,-557,1,0.9772,0.257,-519,7,0,0,184080,-1778,-3375,-1224,85147,1,1293889,0.6194,1,0.615,1,420884,1,0,0,3.9766,1214674,1,0.152,39,3.5305,0,15026,1,0,-1739,0,0,0,1529261,8,8780,0,0,1,2,1,459660,62425,0.7928,0.2169,4,0,92,-764,0,10,97,-2364,0.0323,356,2767050,2634978,0.3263,47,-339,225235,1,14,1494983,0,0,-2141,1,65469,18413,0,0,-1675,8,1,0,-19146,329823,0,37,1.1883,0.4552,1,4.0074,2172,2323209,-509,0,1,0.6146,-643,1906692,0.7562,-208,1,1,0,0.4568,191042,1,195728,1,0.5851,0.3656,-2584,0.4489,-14882,0,7,0.6776,1,10,-45,0,1,744960,121915,13,5884,0.0755,0.6527,-12
1,136689,0,-2686,409032,0.1698,0,26,-1120,-1379,333742,1,158495,-1170,0,1,24384,1,94,-2695,1,0,-929,245256,-598,0.6593,1041084,369993,1,1,-411,-1392,0,15040,-679,85,0.1531,771012,877122,-558,1,1,0,1551565,-2767,0.5968,0,78800,170038,-1910,1,0.0901,0.1888,-7210,41,0,1,10303,-2946,-8820,-1582,91068,1,2406428,0.5936,1,0.0882,1,249869,0,1,0,2.2602,1533921,0,0.3824,37,1.2357,0,31973,0,0,-3778,7,1,1,33734,10,12666,1,1,1,15,0,435998,117532,0.5409,0.1084,45,0,72,-1920,1,13,22,-226,0.0338,135,1750119,1554098,0.6081,69,-2381,232182,0,10,1546791,0,1,-140,0,30683,9272,1,0,-667,10,0,1,-14715,492750,0,27,2.4002,0.7607,0,4.7426,44507,2840781,-1473,1,1,0.7666,-2224,1009946,0.7008,-295,0,1,1,0.4875,68654,1,67539,1,0.6583,0.053,-2755,0.9608,-23441,1,6,0.7051,1,2,-99,0,1,1780359,80403,13,2704,0.7515,0.0587,-13
0,283762,0,-1146,444940,0.6262,1,14,-1999,-899,677048,0,221356,-1750,15,0,69035,1,60,-145,1,0,-2879,142502,-2599,0.4365,2063354,22100,0,1,-2793,-1006,1,15124,-2067,3,0.2273,451379,732972,-2827,0,1,0,1495250,-1147,0.3477,1,12269,224233,-1908,1,2.0365,0.566,-6167,4,0,0,153486,-865,-7173,-1814,75535,0,1814609,0.5866,0,0.735,0,37982,0,0,1,1.0509,1512765,1,0.4979,33,3.4139,0,19831,0,0,-3258,5,0,1,341738,6,8008,1,1,0,9,1,438768,81367,0.7574,0.245,21,1,20,-2904,2,10,79,-153,0.021,51,2861767,1131501,0.8835,105,-884,551925,0,11,1161518,1,0,-1937,0,266059,8993,1,0,-968,12,1,0,-13624,451876,1,21,3.8121,0.3553,1,1.1082,4196,2813928,-2598,1,0,0.8283,-1106,356786,0.3026,-256,1,0,1,0.5842,97834,0,240996,1,0.284,0.2779,-1361,0.5164,-20466,0,12,0.6467,0,12,-105,1,0,1510326,9726,12,8504,0.1411,0.4429,-38
0,122540,1,-1473,446554,0.0398,1,12,-2001,-567,507426,0,238959,-1314,7,1,89815,0,4,-2672,1,1,-929,98519,-772,0.6237,1498682,282718,1,1,-1044,-1505,1,15189,-1580,46,0.6305,1788770,15075,-2477,0,1,1,1119398,-1723,0.2053,0,239872,155884,-1188,1,2.4771,0.1239,-3301,57,1,1,35778,-43,-10811,-1083,15959,1,2173592,0.5136,0,0.9867,1,8967,0,0,1,4.5205,1474553,0,0.0288,44,3.5517,0,39914,0,1,-4463,8,0,0,110767,16,11888,0,0,1,0,0,477162,139731,0.4329,0.0705,45,0,67,-1826,2,10,68,-2011,0.023,55,1950122,1342908,0.7027,39,-2635,572778,0,10,2886486,0,1,-2009,1,223583,13334,0,1,-1404,12,1,1,-17544,140658,1,21,2.9848,0.3202,1,3.6906,36251,2134331,-2292,1,0,0.5782,-2478,910629,0.2573,-2071,1,1,1,0.1071,102916,1,115850,0,0.1958,0.3956,-2762,0.9171,-24534,0,11,0.9702,1,3,-15,0,0,246946,149223,13,9707,0.014,0.1654,-33
0,174731,0,-1616,403611,0.7013,1,0,-753,-613,420887,0,136368,-774,8,0,98143,0,15,-1715,1,0,-1950,498508,-1256,0.5088,2156990,79170,0,1,-1545,-1340,0,16491,-1564,51,0.3267,433023,96401,-188,1,0,1,2483757,-86,0.8904,1,43422,181715,-2454,0,1.4821,0.5422,-4813,55,1,0,87214,-1372,-2380,-1886,90836,0,1458991,0.7829,0,0.0701,1,249082,1,0,1,1.6286,1744485,1,0.6083,48,2.0228,1,47311,1,0,-3065,9,1,0,1794924,10,11282,1,1,1,6,1,462995,88946,0.7271,0.1801,41,0,90,-414,9,11,74,-2134,0.0337,461,2545670,1298199,0.785,55,-450,48395,1,17,1120578,1,0,-224,1,222491,5455,0,0,-2313,8,1,0,-12240,221387,0,2,3.4116,0.3813,1,2.8492,10643,1096776,-2785,1,0,0.6816,-2976,249241,0.549,-2413,1,0,0,0.3083,90121,0,25963,0,0.3929,0.5269,-2739,0.1451,-22104,0,3,0.989,1,12,-37,1,1,1674111,80576,0,6372,0.7349,0.8909,-26
1,86368,0,-1402,400130,0.5588,0,10,-1177,-600,288357,1,269382,-1154,12,0,39096,1,9,-1799,0,1,-2344,424387,-2189,0.1504,2420594,400188,1,1,-1479,-1648,0,15891,-556,85,0.4692,1628788,203642,-1430,0,1,0,2035411,-1498,0.1741,0,56350,209175,-1293,0,2.8473,0.3193,-5807,44,1,0,118459,-2850,-15514,-1044,38468,0,1886850,0.0471,1,0.3151,0,497635,1,1,1,3.4654,1555618,1,0.2784,33,1.6874,0,19657,0,0,-955,1,1,0,493484,4,16956,0,1,1,2,0,473822,31083,0.5044,0.1623,39,0,71,-1258,4,14,5,-56,0.0299,72,1451862,2202340,0.8061,89,-1877,187909,1,7,1691119,1,1,-2293,1,66238,18891,0,0,-1391,2,1,1,-23668,147713,0,33,2.395,0.8531,0,0.6602,28172,2416618,-980,0,0,0.5798,-2404,1736824,0.3278,-1343,0,1,1,0.6902,99953,0,55070,0,0.0014,0.3684,-188,0.8146,-16714,1,2,0.2414,0,20,-64,0,1,222332,97460,18,5764,0.2688,0.7756,-23
1,158258,0,-2391,403166,0.5858,0,10,-1454,-2880,501998,0,266788,-2578,13,0,77411,1,55,-936,0,0,-1104,389885,-2844,0.5248,2279073,216980,0,1,-448,-704,1,16015,-2847,56,0.6364,354244,931541,-814,0,1,0,1015549,-2592,0.0461,0,3615,194523,-291,0,0.6666,0.5162,-6230,49,1,0,20995,-513,-8431,-205,43816,1,1601011,0.5463,0,0.0042,0,473602,1,1,1,4.2224,640273,0,0.8066,29,4.3477,1,17574,0,1,-3850,8,1,0,1011594,4,9228,1,1,0,11,1,436210,110414,0.7869,0.1169,43,0,92,-2548,1,11,25,-693,0.0385,499,2842002,1981770,0.2672,184,-157,325775,0,2,2091555,0,1,-2275,1,120402,16599,0,1,-1318,7,0,1,-16880,572279,0,5,0.7094,0.6232,0,2.5779,23729,2696379,-2269,0,1,0.664,-1029,495147,0.6597,-1413,0,0,0,0.9375,79756,1,247895,0,0.5145,0.3101,-1638,0.6597,-25602,1,1,0.5518,1,6,-113,0,0,938689,61282,10,9318,0.9756,0.6591,-26
0,11898,1,-1980,447547,0.6333,0,22,-621,-425,239766,0,125542,-295,12,0,40781,1,93,-2467,1,1,-2124,170205,-112,0.2666,2030521,51883,0,0,-165,-259,1,16116,-757,61,0.1986,1880879,238055,-2639,1,1,0,1083444,-2685,0.6539,1,84502,210129,-2570,0,0.9174,0.861,-7979,4,1,0,57633,-1327,-21620,-1191,51129,0,1505494,0.8618,0,0.1138,0,457568,0,0,0,3.3543,506034,0,0.0209,55,2.9158,0,36493,1,1,-4963,2,1,0,874633,12,3751,1,1,0,17,1,460105,11532,0.6168,0.2094,32,1,78,-144,2,9,36,-1192,0.036,392,2860395,1453517,0.5289,235,-162,493900,0,9,2528950,1,0,-1837,0,357664,10134,1,1,-785,14,1,0,-22872,357413,1,44,1.7119,0.2607,1,0.4761,281,2663303,-1143,1,1,0.5473,-2716,818651,0.8227,-1678,1,0,1,0.6175,105185,0,117359,1,0.6671,0.0558,-1237,0.6866,-18212,1,3,0.214,0,1,-91,0,0,1001745,478,18,8218,0.4183,0.747,-7
